qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_In_Boar_Grove_you_fo|멧돼지 숲에서 당신은 어머니의 노예였던 베다라는 사제를 만났습니다. 그는 자유의 몸이 되어 당신을 찾아왔고, 어머니의 사랑을 다시금 일깨워 주었습니다. 마침내 어머니의 소식을 접한 당신은 그녀를 찾는 길에 한 걸음 더 다가섰습니다.^^이제 두아르-안-에네즈로 항해할 준비가 끝났습니다. 항구에서 배 근처에 머무는 늙은 선장과 대화하십시오.
qstr___He_smiles.__|--그가 미소 짓습니다.--
qstr___He_closes_his_eyes|--그는 적절한 단어를 고르려는 듯 잠시 눈을 감았습니다.--
qstr___He_takes_a_deep_br|--그는 심호흡을 한 뒤 천천히, 그리고 차분하게 대답했습니다.--
qstr_Asbjorn_has_joined_y|아스비요른은 당신이 함대에 확실히 합류하도록 부대에 들어왔습니다. 또한 그는 당신의 부대에서 의사 역할을 하겠다고 제안했습니다. 이제 {s3}의 항구장을 만나 앵글리아로 떠나는 바이킹 함대에 승선할 때입니다.
qstr___Bodo_seems_excited|--보도가 흥분한 듯 보입니다.--
qstr___He_smiles_at_you._|--그가 당신을 보며 미소 짓습니다.--
qstr___He_takes_the_lette|--그는 당신의 손에서 편지를 가져갔습니다.--
qstr___He_looks_up_from_t|--그는 서신에서 눈을 떼고 당신을 돌아보았습니다.--
qstr_Bodo_s_letter_has_fa|보도의 편지는 당신의 손에 들어왔다, 당신은 총회와 현재 산적한 다른 문제를 해결한 뒤, 당신이 이 편지를 가지고 무엇을 해야 할 지 결정을 내려야 할 것입니다. 지금은, {s9}에게로 돌아가서 그에게 아틀리의 동굴에서 편지가 공격 중 불타버렸다고 이야기해야 한다, 그 편지를 그가 {s11}을(를) 보장하도록 그를 상대로 사용할 수는 없을 것입니다.
qstr_Brunhild_thinks_that|부룬힐드는 당신을 나약한 지도자라고 생각합니다.
qstr_Reginhard_thinks_tha|레긴하르트는 당신을 나약한 지도자라고 생각합니다.
qstr_Bodo_thinks_that_you|보도는 당신을 나약한 지도자라고 생각합니다.
qstr_Brunhild_has_advised|부룬힐드는 {s9}에게 가기 전에, 먼저 그의 적인 {s11}의 지원을 얻어 당신이 무방비하게 라그나르의 아들의 손으로 다가가지는 말자고 제안했습니다.
qstr_I_m_not_sure_I_want_|당신이 무슨 말을 할지 딱히 듣고 싶지 않구려. (냉정함)
qstr_You_are_worrying_me_|보도, 자네 때문에 걱정이 되는군. 무슬 말을 하려고 하시오? 어서 털어놓으시오. (우울증)
qstr_I_m_very_calm..._Tru|나는 매우 침착한 상태요... 나를 믿으시오. 내가 흥분한 것을 보고 싶지는 않을 것이오, 보도. 내 인내심이 다하고 있으니 당장 말하지 않으면 두들겨 패줄 것이오. (다혈질)
qstr_Whatever_you_have_to|할 말이 무엇이든 말하시오. 나는 오래전부터 이 순간을 위해 마음을 다잡고 있었소. (낙관적)
qstr_I_understand_my_frie|이해하겠소, 내 친구여. 하지만 당신도 모든 것을... 알아야만 할 것이오.
qstr_Stay_calm_please._I_|일단 멈추고 진정하시오. 내가 모든 것을 말해주겠소.
qstr_No_need_to_be_aggres|공격적으로 나올 필요는 없잖소. 당신은 내 친구이고, 당신에 대한 내 충직함은 의심의 여지가 없을 것이오. 이제, 귀를 기울이고 잘 들어보시오.
qstr_I_admire_your_strong|나는 당신의 강인한 기백에 감탄했소. 당신에게 모든 것을 말해주겠소.
qstr___He_puts_his_hand_o|--그는 당신의 어깨 위에 손을 놓고 슬픈 미소를 지었습니다.--
qstr___He_sighs_impatient|--그가 초조한 듯 한숨을 내쉽니다.--
qstr___He_steps_back_take|--그가 한 걸음 물러나 깊게 숨을 들이마시더니 당신의 눈을 똑바로 응시합니다.--
qstr_Sven_wanted_you_but_|스벤이 당신을 노리고 있었소. 하지만 그가 당신의 위치를 어떻게 알아낸 것이오? 누가 우리를 배신했단 말이오? (지혜)
qstr_Your_redemption_and_|당신의 속죄와 나의 목표는 일치하오. (불굴의 정신)
qstr_I_understand_that_wh|일어난 일들이 당신 때문에 비롯되었다는 건 알지만, 당신의 잘못은 아니오. (절제)
qstr_You_re_responsible_f|이 모든 일에 대한 책임은 당신에게 있소. 스벤 다음은 당신이 목숨으로 그 대가를 치러야 할 것이오. (정의)
qstr___He_sighs_with_anno|--그가 짜증 섞인 한숨을 내쉽니다.--
qstr___He_lowers_his_head|--그가 당혹스러운 듯 고개를 숙이고 손을 가만히 두지 못합니다.--
qstr___He_strains_his_fac|--그가 얼굴을 찌푸린 채 눈도 깜빡이지 않고 당신을 빤히 쳐다봅니다.--
qstr_Info:|정보:
qstr_Regarding_that_matte|그 문제에 관해서는, 나도 오딘 릭이 안전할 줄 알았으나 내가 틀렸었소. (지혜)
qstr_Note_Bodo:_Bodo_feel|보도에 관한 기록: 보도는 오딘 릭 사람들의 죽음에 간접적인 책임감을 느끼고 있습니다.
qstr_So_our_paths_have_me|친구여, 결국 우리의 길이 이렇게 만났구려. 나머지 이야기를 들려주겠소. 이제 우리의 공공의 적에 맞서 함께 싸울 수 있을 것이오. (불굴의 정신)
qstr_Note_Bodo:_Bodo_felt|보도에 관한 기록: 보도는 오딘 릭 주민들의 죽음에 간접적인 책임감을 느꼈으나, 당신은 그를 용서했습니다.
qstr_Thanks_for_your_trus|믿어주니 고맙소. 내가 그 믿음에 보답할 수 있기를 바라오. (절제)
qstr_That_would_be_just._|그것이 공정하겠군. 내가 초래한 피해에 대해 대가를 치르겠소. '황소목' 스벤을 죽인 뒤, 내 목을 그대의 칼날 아래에 맡기겠소. (정의)
qstr_Note_Bodo:_Bodo_is_i|보도에 관한 기록: 보도는 오딘 릭 주민들의 죽음에 간접적인 책임이 있습니다. 당신의 정의감은 스벤을 죽인 뒤 보도 역시 그 죄를 씻기 위해 죽어야 한다고 말합니다. 당신은 그를 죽이기로 맹세했습니다.
qstr___He_shrugs.__|--그가 어깨를 으쓱합니다.--
qstr_Finally_all_roads_le|결국 모든 단서는 '눈 속의 뱀' {s11}에게로 향합니다. 스벤은 당신의 어머니를 그에게 끌고 갔습니다. {s11}은(는) 보도가 어머니에게 맡긴 물건과 그녀가 알고 있는 중요한 정보를 원하기 때문입니다. 스벤은 보도가 아닌 당신의 어머니가 그 물건을 가지고 있다고 믿고 있습니다. 따라서 그녀는 아직 살아있을 것입니다. 스벤이 기만을 알아채고 그녀를 죽이기 전에 서둘러야 합니다.
qstr_Finally_all_roads_lea|결국 모든 단서는 '눈 속의 뱀' {s11}에게로 향합니다. 스벤은 당신의 어머니를 그에게 끌고 갔습니다. {s11}은(는) 보도가 어머니에게 맡긴 물건과 정보를 원하기 때문입니다. 스벤은 보도가 아닌 당신의 어머니가 그 물건을 가지고 있다고 믿고 있습니다. 따라서 그녀는 아직 살아있을 것입니다. 스벤이 기만을 알아채고 그녀를 죽이기 전에 서둘러야 합니다.
qstr___He_takes_the_mead_|--그는 벌꿀주 단지를 입에 대고 길게 들이켠 뒤, 가만히 당신을 바라봅니다.--
qstr_You_don_t_trust_me._|당신은 나를 믿지 않는구려. 이해하오, 나는 이곳이 처음이니 말이오. 어쩌면 내가 떠나는 게 맞을지도 모르겠소. (냉정함)
qstr_I_see..._Something_m|그렇군... 무엇인가 당신을 불안하게 만드는 모양이오. (우울증)
qstr_Look_at_me._Who_else|나를 보시오. 이 연회장에서 당신과 함께 앉아줄 사람이 또 있겠소? 아무도 없소! (다혈질)
qstr_You_looked_like_some|친구가 필요한 사람처럼 보여 다가왔소만, 내가 다시 가는 게 낫겠구려. (낙관적)
qstr_{s21}_seems_happy.|{s21}은(는) 행복해 보입니다.
qstr_Please_do_not_leave!|제발 떠나지 마시오! 함께 술을 마시며 이야기를 계속합시다!
qstr_Nervous?_Me?_No_mate|불안하다고? 내가? 아니오, 친구. 나는 '위험한' 사람이라오.
qstr_I_ve_just_gotten_to_|자네를 이제 막 알게 되었는데, 누군가 정보를 캐내려고 자네를 보낸 게 아니라는 걸 내가 어찌 알겠소?
qstr___He_smiles_drinks_a|--그가 미소 지으며 다시 술을 마십니다. 벌꿀주가 입술을 넘쳐 턱으로 흘러내립니다. 그는 트림을 합니다.--
qstr___He_seems_not_hear_|--그는 당신의 말을 듣지 않는 것 같습니다. 모종의 생각에 잠긴 듯 그의 얼굴에 기쁨이 스쳐 지나갑니다.--
qstr_{s11}_wants_you_to_m|{s11}은(는) 당신이 자신의 이름으로 프리지아의 과부와 고아들을 위해 {s4}의 아다에게 기부하기를 원합니다. 그녀의 상점은 부두에 있습니다.
qstr___He_looks_happy_to_|--그는 당신의 말을 듣고 기뻐 보입니다.--
qstr___He_looks_at_you_wi|--그는 깊은 걱정이 서린 눈빛으로 당신을 바라봅니다.--
qstr_You_have_decided_to_|아스투리아스 왕의 서신을 웨식스 왕에게 전달하기로 결정했습니다. 서신을 {s11}에게 가져가십시오.
qstr_You_have_decided_to_g|서신을 라그나르의 아들들에게 전달하기로 결정했습니다. 서신을 {s11}에게 가져가십시오.
qstr___Bodo_seems_overcom|--보도가 넘치는 기쁨을 가누지 못하는 듯 보입니다.--
qstr_Note_Bodo:_With_your|보도에 관한 기록: 당신이 아스투리아스 왕의 서신을 덴마크인들에게 넘기기로 결정하자 보도는 배신감을 느꼈습니다. 이 칸타브리아인은 부대를 떠나며, 만약 다시 자신을 찾으러 온다면 당신을 죽이겠다고 협박했습니다.
qstr___His_face_goes_from|--그의 얼굴이 당혹감에서 통제할 수 없는 분노로 순식간에 일그러집니다.--
qstr___Brunhild_comes_up_|--부룬힐드가 다가와 당신을 꽉 껴안았습니다.--
qstr___His_eyes_are_a_wel|--그의 눈은 슬픔의 샘이 되었고, 뺨에는 눈물이 쉴 새 없이 흘러내리고 있었습니다.--
qstr___Egil_bares_his_tee|--에길이 이빨을 드러내며 분노를 표출합니다.--
qstr_Note_Reginhard:_Regi|레긴하르트에 관한 기록: 레긴하르트는 총회에서 당신을 배신했고, 당신은 총회의 판결에 따라 홀름강 결투에서 그를 죽여야 했습니다. 결국 당신은 무례하고 경박한 에길을 부대에서 쫓아냈습니다.
qstr_Your_men_think_that_|병사들은 에길이 훌륭한 지도자가 될 수도 있었을 것이라 생각합니다.
qstr___He_seems_surprised|--그는 깜짝 놀란 듯했으나, 놀라움은 이내 격렬한 분노에 잠식되었습니다.--
qstr_Your_men_think_that_y|병사들은 당신을 강인한 지도자로 생각하면서도, 에길의 카리스마를 그리워할 것입니다.
qstr_Note_Egil:_Reginhard|에길에 관한 기록: 레긴하르트는 총회에서 당신을 배신했으나 당신은 그의 목숨을 살려주었습니다. 하지만 에길은 그 결정을 받아들이지 않았고, 당신은 총회의 법에 따라 홀름강에서 에길을 죽여야 했습니다.^결국 당신은 배신을 용서하지 못하고 레긴하르트를 부대에서 쫓아냈습니다.
qstr_Note_Egil:_Reginhard_|에길에 관한 기록: 레긴하르트는 총회에서 당신을 배신했으나 당신은 그의 목숨을 살려주었습니다. 하지만 에길은 그 결정을 받아들이지 않았고, 당신은 총회의 법에 따라 홀름강에서 에길을 죽여야 했습니다.^결국 당신은 배신을 용서하지 못하고 레긴하르트마저 죽였습니다.
qstr_Note_Egil:_Reginhard_b|에길에 관한 기록: 레긴하르트는 총회에서 당신을 배신했으나 당신은 그의 목숨을 살려주었습니다. 하지만 에길은 그 결정을 받아들이지 않았고, 당신은 총회의 법에 따라 홀름강에서 에길을 죽여야 했습니다.^당신은 레긴하르트의 반역을 용서하고 그를 부대에 남겨두기로 했습니다.
qstr___Reginhard_gathers_|--레긴하르트가 짐을 챙겨 떠납니다.--
qstr_Your_men_think_that_yo|병사들은 당신을 배신자조차 처벌하지 못하는 나약한 지도자로 생각합니다.
qstr___You_approach_Regin|--당신은 레긴하르트에게 다가가 단검으로 그의 목을 깊숙이 그었습니다. 피를 흘리며 쓰러진 그가 숨을 거둘 때까지 당신은 그 모습을 지켜보았습니다.--
qstr_Your_men_think_that_you|병사들은 당신을 배신자를 가혹하게 처벌하는 강인한 지도자로 생각합니다.
qstr___He_seems_happy_to_|--그는 당신의 말을 듣고 기뻐하는 듯 보입니다.--
qstr_Your_men_think_that_you_|병사들은 당신을 배신을 방조하는 나약한 지도자로 생각합니다.
qstr___He_pushes_the_jar_|--그는 항아리를 옆으로 밀어버리고 고개를 떨구었습니다.--
qstr___He_looks_at_you_wit|--그가 당신을 바라보자 눈에 눈물이 가득 고여 있었습니다.--
qstr_Reginhard_has_joined|레긴하르트가 합류했습니다. 그는 티아데르트와 그의 일당이 도레스타드 정동쪽 산기슭에 있다는 정보를 주었습니다. 티아데르트의 무리는 강력하므로, 당신을 지지하는 대규모 병력과 함께 가야 할 것입니다.
qstr_{s21}_seems_unhappy.|{s21}은(는) 불만스러운 기색입니다.
qstr_high|높은
qstr_low|낮은
qstr_normal|중간
qstr_Christianity|기독교
qstr_Norse_gods|북구 신앙
qstr_The_subjects_of_our_|우리 왕국의 국교는 {s4}입니다. 기록에 따르면 {reg13}명의 백성이 우리 신앙을 받아들였습니다.
qstr_The_subjects_of_our_k|우리 왕국의 국교는 {s4}입니다. 기록에 따르면 {reg13}명의 백성이 우리 신앙을 버린 것으로 보입니다.
qstr_the_{s12}|{s12}
qstr_the_{s11}_and_{s12}|{s11}와(과) {s12}
qstr_the_{s11}_{s12}|{s11}, {s12}
qstr_We_are_quite_happy_n|우리는 어느 누구와도 전쟁 중이 아니며, 평화로운 시기를 보내고 있습니다.
qstr_We_are_at_war_with_{|{s12}와(과) 전쟁 중입니다.
qstr___He_seems_pleased._|--그는 만족스러워 보입니다.--
qstr___He_seems_upset.__|--그는 언짢아 보입니다.--
qstr___He_seems_distresse|--그는 괴로워 보입니다.--
qstr___He_looks_at_you_with|--그가 어깨를 축 늘어뜨린 채 당신을 바라봅니다. 완전히 낙담한 기색입니다.--
qstr___He_looks_with_grie|--그의 얼굴에 슬픔이 서려 있습니다.--
qstr___He_spits_on_the_gr|--그가 바닥에 침을 뱉습니다. 슬픔이 분노로 바뀌며 그의 인상이 험악해집니다.--
qstr_Thiaderd_is_dead._Br|티아데르트가 죽었습니다. {s3}의 야를에게 이 소식을 전하십시오.
qstr___He_looks_over_your|--그는 당신의 어깨 너머 먼 곳을 응시합니다.--
qstr___He_puts_his_hand_on|--그가 당신의 어깨에 손을 얹으며 미소 짓습니다.--
qstr___He_turns_away_from|--그가 얼굴을 찡그리며 당신에게서 등을 돌립니다.--
qstr___He_nods._You_note_|--그가 고개를 끄덕입니다. 그의 눈에 비친 걱정 어린 기색이 느껴집니다.--
qstr_{playername}_when_we|{playername}, 우리가 이 긴 여정을 시작했을 때 나를 지지할 용기를 낸 이는 거의 없었소. 내 대의를 위해 목숨을 걸려는 자는 더더욱 적었으나, 당신은 내 적들에게 맞서는 데 조금도 주저하지 않았소. 우리는 함께 수많은 고비를 넘겼고, 모든 희망을 잃을 뻔한 순간도 있었지만 결국 승리했소. 이제 내가 당신의 방패 벽을 떠나 제자리를 되찾을 시간이구려. 이제부터 나는 {s3}을(를) 통치하는 막중한 책임을 다할 것이오. 앞으로도 많은 도전과 기만이 기다리고 있겠지만, 당신의 도움에 의지해 극복해 나가고자 하오. 물론 당신은 언제나 나의 가장 소중한 봉신으로 남을 것이오.
qstr_Find_and_speak_with_|{s4}의 {s3}을(를) 찾아가 충성 서약을 하십시오.
qstr__We_will_of_course_n|물론 왕국의 군사 작전이 종료될 때까지 기다려야 합니다.
qstr_The_fort_has_been_de|이 요새는 용맹한 자들이 지켜냈으니, 우리는 고개를 높이 들고 떠날 것이오. 우리의 안전을 보장해줄 수 있겠소?
qstr_Well_I_guess_I_can_a|패배를 인정하겠소. 요새를 비워줄 테니 우리를 공격하지 않겠다고 약속해주시오.
qstr_We_are_ready_to_leav|요새를 넘겨주고 물러날 준비가 되었소. 우리를 해치지 않고 보내주겠다고 명예를 걸고 약속한다면 말이오.
qstr_There_comes_a_time_w|훌륭한 지도자라면 부하들의 안위를 책임져야 할 때가 있는 법이오. 요새를 떠날 테니, 우리를 공격하지 않겠다고 약속하시오.
