str_yes|네.
str_retirement_text_6|당신은 모험하는 동안 현명하게 절약하였고, 당신의 돈과 지혜를 통해 미래를 탄탄하게 할 훌륭한 투자를 하게 되었습니다. {s9}에서 몇 개의 상점과 창고들을 사들인 뒤에, 당신의 통찰력 덕분에 당신은 마을에서 가장 뛰어난 상인이 되었고, 곧 전투에서의 업적만큼이나 무역 제국을 이끄는 부유한 {reg59?여자:남자}로 이름을 날리게 되었습니다.
str_retirement_text_7|비록 작지만 땅을 가지고 있는 귀족으로서 당신의 미래는 탄탄했습니다. {s7}에 정착하여, 마을과 땅들을 관리하고, 지역 재판에서 판결을 내리고, 당신의 군주에 대한 의무를 다하게 되었습니다. 종종 당신의 군주는 당신을 소집하여 작전에 참가할 것을 명령했지만, 그것은 잠깐이었고, 당신의 젊은 날과 같이 완전한 모험의 세계로 당신을 몰아가지는 않았습니다. 당신은 이미 당신의 운명을 결정지었습니다. 당신의 집과 땅들로 개인적인 부와 만족스럽진 못하지만 당신의 땅에서의 수입 등 원하는 몇 가지를 가질 수 있었습니다.
str_retirement_text_8|당신 자신이 스스로 훌륭한 일을 해냈다는 것에는 의심할 여지가 없었습니다. 당신의 값진 영지들과 여행에서 쌓은 부는 당신의 여생을 편히 살 수 있게 해 주었습니다. {s8}에서 귀족의 자리에서 은퇴한 뒤, 당신은 정치의 세계에 입문했고, 당신 군주의 왕국에서 적지 않은 힘을 가진 사람이 되었습니다. 당신 소유의 숲에서 사냥을 하고, 연회를 개최하고, 당신은 연회에서 수많은 전쟁 이야기들을 하며 바쁜 나날을 보냈고, 이후 몇 년간 당신은 세상의 관심사가 되었습니다.
str_retirement_text_9|당신의 능력과 충성에 대한 보답으로, 당신의 군주는 당신이 왕국에서 주요 귀족 사회로 들어갈 수 있는 세습되는 직위를 받을 것이라고 공표했습니다. 곧 당신은 {s7}의 남작으로 임명되었고, 당신 군주의 가까운 조언자이며 부관이 되었습니다. 당신의 명성은 정치적임 힘과 영향력을 가져다 주었습니다. 당신은 이제 권력을 위한 게임을 즐기고, 거대한 영지를 관리하며, 지난 날의 모험과 영광을 되새기며 시간을 보내고 있습니다.
str_retirement_text_10|비록 당신이 보잘 것 없이 시작했지만, 당신의 군주는 당신을 높이 평가하였고, 당신을 세습되는 직위인 {s9}의 {reg59?백작부인:백작}으로 임명했을 때, 왕국에는 충격의 물결이 스쳐 지나갔습니다. 광대한 영지와 재물은 이제 당신의 발 아래 놓였습니다. 당신은 빠르게 당신 군주의 가장 신임하는 조언자가 되었고, 거의 그와 동등하게 왕국을 운영하게 되었습니다, 그리고 브리타니아와 에리우의 가장 강력한 존재 중의 하나로 당신의 찬란한 성에서 왕좌에 앉게 되었습니다.
str_loot_village|순진한 주민들을 공격한 상황.
str_steal_from_villagers|가난한 주민들을 약탈한 상황.
str_rob_caravan|상단을 습격한 상황
str_sell_slavery|사람을 노예로 팔아넘기는 상황.
str_men_hungry|병사에게 제공할 식량이 고갈된 상황
str_men_unpaid|병사의 수당을 지불할 수 없는 상황.
str_excessive_casualties|전투에서 우리에게 많은 사상자가 일어난 상황.
str_surrender|적에게 항복한 상황.
str_flee_battle|전투에서 도망치는 상황.
str_pay_bandits|일반적인 도적들에게 돈을 지불함
str_fail_quest|수락한 임무를 실패한 상황.
str_treason_one|명예
str_missed_npc|실패.
str_squander_money|맡은 돈을 뗴어먹은 상황.
str_murder_merchant|의뢰를 받아 청부살인한 상황.
str_round_up_serfs|귀족을 위해 농노들을 붙잡아 넘긴 상황.
str_battle_fate_1|전쟁의 열기에서 분리됨
str_battle_fate_2|부상을 당했고 죽기위해 내버려짐
str_battle_fate_3|적에 의해 정신을 잃고 쓰러짐
str_battle_fate_4|몸값을 받아서 가지고 있음
str_battle_fate_5|붙잡혔지만 나중에 도망침
str_npc_morale_report|저는 당신이 동료를 선택하는 것은 {s6}이고, 당신의 지휘 방식은 보통 {s7}이며, 일반적인 사건의 상태는 대부분 {s8}입니다.
str_happy|행복함
str_content|만족함
str_concerned|걱정됨
str_not_happy|행복하지 않음
str_miserable|완전히 끔찍함
str_morale_reg1| 사기: {reg1}
str_bar_enthusiastic|                   열광적인
str_bar_content|              만족한
str_bar_weary|          지루한
str_bar_disgruntled|     불만인
str_bar_miserable|  비참한
str_here_plus_space|여기 
str_npc1_intro|안녕하시오, 전쟁 군주. 내 이름은 카이오라고 하오, 내 아버지가 나를 보냈소.
str_npc2_intro|안녕하시오! 내 이름은 에길이오.
str_npc3_intro|{reg59?누가 당신을 보낸 거죠? 당신이 있던 곳으로 돌아 가요!:나에게 가까이 오지 마요, 나는 내 길을 가로막는 사람들 때문에 너무 피곤해요!}
str_npc4_intro|무슨 일이오?
str_npc5_intro|안녕하시오, 여행자여. 나와 술이라도 함께 마시겠소?
str_npc6_intro|나는 당신에게 할 말이 있소, 잘 들으시오.
str_npc7_intro|네, 무슨일이죠? 그런데 너무 가까이 다가오신것 같네요.
str_npc8_intro|무엇을 원하시오?
str_npc9_intro|여기 있었군, 이 사람! 내게 한 잔 더 사줄 정도로 친절할 거라고 생각하는데, 괜찮소?
str_npc10_intro|하나님께서 당신과 함께 하시길, {reg59?부인:경}! 모든 웨일즈인들의 몰락과 파멸이 오길!
str_npc11_intro|안녕하세요, {reg59?예쁜 레이디:잘 생긴 경}. 나는 당신을 잠시 지켜보고 있었어요.
str_npc12_intro|안녕하시오, {reg59?부인:선생}. 만나서 반갑소.
str_npc13_intro|무슨 일이오? 나에게 무엇을 원하시오?
str_npc14_intro|안녕하시오, 여행자여. 나는 에일츠요, 게일 전사지. 나는 당신이 내 이름에 대해 들어 보았을 거라 생각하오.
str_npc15_intro|이보시오! 이보시오! 안녕하시오, {reg59?부인:선생}. 나는 아가티노스요. 이 곳에서 우리가 이 순간에 만났다는 것이 우연이 아니라고 생각하지 않소?
str_npc16_intro|아... 당신... 나는...
str_npc1_intro_response_1|그래, 알겠소. 당신에 대해 말해 보시오.
str_npc2_intro_response_1|얘기해보시오, 에길.
str_npc3_intro_response_1|진정하시오, 나는 당신에게 해를 끼칠 생각이 없소. 당신은 무엇을 두려워하고 있는 것이오?
str_npc4_intro_response_1|당신은 매우 말수가 없어 보이는군, 안 그렇소?
str_npc5_intro_response_1|물론, 나와 같이 술 마실 상대 이름 정도는 알아야 되지 않겠소?
str_npc6_intro_response_1|계속하시오, 친구?
str_npc7_intro_response_1|내 사과를 받아 주시오. 나는 단지 당신이 굴러들어온 행운을 집어던지는 것은 보고 싶지 않소.
str_npc8_intro_response_1|나는 단지 하루 묵어가기 위해 여기 온 이방인일 뿐이오, 믿지 못한다면 내 약속하겠소.
str_npc9_intro_response_1|나는 나와 다른 사람을 착각하고 있는 것 같지 않소, 선생.
str_npc10_intro_response_1|당신은 왜 그런 말을 하시오, 선생?
str_npc11_intro_response_1|당신은 누구요, 그리고 왜 나를 찾고 있소?
str_npc12_intro_response_1|나도 만나서 반갑소.
str_npc13_intro_response_1|하루쯤은 다른 여행자와 같이 시간을 보내도 되지 않겠소, 당신이 허용하는 경우라면야.
str_npc14_intro_response_1|음... 나는 들어본 적이 없는 것 같소.
str_npc15_intro_response_1|내 어떤 것이 당신의 관심을 끌었는 지, 물어봐도 되겠소?
str_npc16_intro_response_1|당신은 혀가 꼬였소?
str_npc1_intro_response_2|음, 당신이 나에게 합류하고 싶다는 건 알았소, 하지만 나는 당신이 필요하지 않소. 그럼 이만.
str_npc2_intro_response_2|나는 다른 중요한 일이 있소.
str_npc3_intro_response_2|이제 가보는 게 어떻소, 레이디. 나는 할 일이 있고, 나는 당신이 두렵게 생각하든 무엇이든 당신에 대한 어떤 일도 할 생각이 없소.
str_npc4_intro_response_2|아무것도 아니오.
str_npc5_intro_response_2|나는 그럴 시간이 없소.
str_npc6_intro_response_2|나는 다른 중요한 일이 있소.
str_npc7_intro_response_2|알겠소, 그럼 당신을 귀찮게 하지 않겠소.
str_npc8_intro_response_2|아무 것도 아니오, 당신은 농담이 별로 내키지 않나 보군. 그럼 잘 있으시오.
str_npc9_intro_response_2|술은 당신이 가진 돈으로 사시오!
str_npc10_intro_response_2|자주 들었던 말이고, 나는 그 말을 전혀 듣고 있지 않소. 그럼 잘 있으시오.
str_npc11_intro_response_2|오, 나는 그럴 시간이 없소!
str_npc12_intro_response_2|미안하오, 나는 지금 해야만 하는 일이 있소.
str_npc13_intro_response_2|아무 것도 아니오, 내 사과하겠소.
str_npc14_intro_response_2|아니, 내 생각에는 당신과 그리 친해질 수 없을 것 같소.
str_npc15_intro_response_2|당신의 사업 파트너는 다른 사람을 알아 보시오, 선생
str_npc16_intro_response_2|나는 가겠소, 당신은 먼저 말 부터 배워야 할 것 같군.
str_npc1_backstory_a|전쟁 군주, 나는 늙은 로마인의 막내 아들이오. 당신도 알다시피 우리 가족은 이 지역의 전설이나 다름 없소. 우리는 우리의 옛 조상들의 역사를 보존하고, 하드리아누스의 장벽을 순찰하고 있소.
str_npc2_backstory_a|잠깐이면 될 것이오, {reg59?부인:경}. 내 이야기를 들으시오. 나는 당신에게 중요한 사람이오.
str_npc3_backstory_a|미... 미안해요. 하지만, 부디 이해해주세요, 내가 켄네머의 야를의 집의 시종이 된 뒤로, 내 인생은 지옥과도 같았어요.
str_npc4_backstory_a|나는 행동으로 말하는 사람이오. 만약 당신이 말 많은 사람을 원한다면, 사제를 찾아야 할 것이오.
str_npc5_backstory_a|나는 보스베네흐의 모르간트요. 그러나, 나는 지금 내 고향에서 추방당한 상태요...
str_npc6_backstory_a|나는 죽었어야 했소, 하지만 나는 누군가의 목숨 값으로 지금 살아있는 거요. 나는 어느 선박에서 있었던 일을 생각하고 있었소, 그 선박의 이름은 오딘 릭이었지, 그 배는 나를 내 고향에서 북쪽으로 싣고 왔소, 몇 명의 승무원들과 내 가족도 함께 말이오. 그러나 어느 날 바이킹들의 공격을 받았고, 나는 내 칼과 방패를 들고 내 가족들을 죽음에서 지키려 했소.^^칸타브리아인은 기독교인들이오, 하지만 여전히 일부는 예전의 고대 신들을 기억하고 있지. 특히 그 중 한 명, 에루디노는 전투에서 우리를 인도하는 자요, 나는 내 검을 들면서 그의 이름으로 맹세했소.
str_npc7_backstory_a|내 행운이요? 당신은 지금 행운에 대해 이야기 하고 있나요?
str_npc8_backstory_a|아, 글쎄, 만약 당신이 알고 싶은 경우, 내 얘기해 주겠소.
str_npc9_backstory_a|내 겸허하게 사과하겠소. 이런 연기와 어둠 속에서 사람을 알아보는게 가끔은 어려울 때가 있소. 나는 아직도 내 고향이 그런 곳이라는 걸 믿을 수가 없소.
str_npc10_backstory_a|그건 긴 이야기요, 하지만 당신이 내게 한 잔 사 준다면, 내 기꺼이 말해 드리겠소.
str_npc11_backstory_a|진정해요, {reg59?예쁜이:멋쟁이}. 당신이 똑똑한 사람이라 좋군요, 하지만 먼저 내 소개를 들어야 할 거에요. 내 이름은 솔베이그 올라프도티르에요. 나는 평범한 여자가 아니에요. 나는 스칼드모죠.
str_npc12_backstory_a|나는 지금이 공식적으로 나를 소개할 수 있는 좋은 시간이라고 생각하오, 그건 가능성이 있었기 때문에 우리의 길이 서로 교차하게 된 것이지. 나는 오딘스베의 아스비욘이오, 그리고 나는 로크니어요, 나는 몇 달 전 프랑키아에서 덴마크로 돌아올 때까지 간단한 의사 일을 하고 있었소.
str_npc13_backstory_a|좋소, 그러고 말고. 내 이름은 헬기라고 하고, 덴마크인과 슬라브인의 학살자요.
str_npc14_backstory_a|당신이 말이오? 당신은 아마도 내가 가진 말에 대해 들어본 적이 있을 것이오, 당신은 달 빛을 받으며 평원을 가로질러 본 적이 있소? 혹은 내 검, 하이베르니아의 고위 왕족들 중에서도 왕자만이 들 수 있는 검을 본 적이 있소?
str_npc15_backstory_a|먼저 나를 소개하겠소. 나는 기술자요, 나는 무언가를 보강하는 데에 예술적인 재능을 가지고 있지. 만약 당신이 필요한 경우 나는 성벽들을 간단하게 무너뜨릴 수 있소, 나는 그런 일들의 전문가니까. 만약 당신이 다시 성벽을 쌓아올리길 원할 경우, 그 때도 나는 적합한 사람일 것이오. -- 하지만 그에 대해 나는 당신에게 좀 더 많은 비용을 청구할 것이오.
str_npc16_backstory_a|실례하겠소, {reg59?부인:선생}. 나는 신에게 봉사하는 사람이고, 기독교 신부요. 당신은 {playername}(이)가 아니오?
str_npc1_backstory_b|나는 개인적으로 내가 아주 뛰어난 추적자라고 생각하고 있소. 사실, 나는 항상 우리가 동굴을 떠날 때, 내 가족을 보호하는 동안 최고의 추적자였소. 당신이 내 봉사를 받는다면, 내 아버지가 당신을 기쁘게 생각할 것이오.
str_npc2_backstory_b|나는 호릭 왕의 아들이오, 하지만 나는 서자요. 왕은 예쁜 여자를 좋아하지, 그리고, 음, 그는 그의 아내의 여자 시종들 사이에서 내 어머니를 만났소. 그래서 내가 지금 여기에 있는 거요, 내 생각에 리베에 있던 내 어린 시절 동안은 행복했던 것 같소, 하지만 곧 왕이 그의 근위병 중 한 명을 내가 사는 곳으로 보냈소. 그는 터프하고 폭력적이었지. 그는 나에게 창을 사용하는 법이나, 검과 방패를 쓰는 법에 대해 가르쳐 주었소. 또한 그는 나에게 벌꿀주를 자주 사주었고, 여자랑 만날 기회도 많이 주었지. 당신은 이런 상황에서 어느 누가 어려움에 처할 거라고 생각이나 했겠소?
str_npc3_backstory_b|나는 독싱가라는 작은 마을에서 살고 있었어요. 나는 내 아버지 손크릭과 함께 행복하게 살고 있었죠, 아버지는 어머니가 돌아가신 뒤 나를 위해 많이 신경 써 주셨으니까요. 하지만, 그러던 어느 날 켄네머의 야를이 우리 마을에 왔고, 그는 저를 보고. 그, 망할 놈이, 제 아버지에게 그의 아내의 시종으로 보내도록 강요했어요. 그는 나를 존중해줄 것이라고 약속했지만, 그건 죄다 거짓말이었어요. 그 것에 대해서는 이야기하고 싶지 않네요...^음, 그 이후... 저는 정말 노예가 되어버렸어요. 저는 그의 부하들에게 제 몸을 내줄 수밖에 없었어요...
